Event ID,Message
0,"2025-03-11 22:57:22.778 UTC [5460] LOG:  redirecting log output to logging collector process
2025-03-11 22:57:22.778 UTC [5460] HINT:  Future log output will appear in directory ""log""."
1,"File System Filter 'CldFlt' (Version 10.0, ?2008?-?12?-?25T02:48:25.000000000Z) unloaded successfully."
3,The miniport 'Microsoft Hyper-V Network Adapter #2' was successfully initialized
5,"ADM Connector (1.0_8.0.1.967) Start: pid 10964, tid 4"
6,"File System Filter 'CldFlt' (10.0, ?2008?-?12?-?25T02:48:25.000000000Z) has successfully loaded and registered with Filter Manager."
11,Miniport NIC 'Microsoft Hyper-V Network Adapter #2' restarted
12,The operating system started at system time ?2025?-?03?-?11T22:56:13.500000000Z.
13,"Mellanox ConnectX-4 Lx Virtual Ethernet Adapter #4 device detects that the link is up, and has initiated a normal operation."
14,"Credential Guard configuration: 0x0, 0"
15,Hive \??\C:\Windows\System32\SMI\Store\Machine\SCHEMA.DAT was reorganized with a starting size of 13402112 bytes and an ending size of 11681792 bytes.
16,The access history in hive \??\C:\Users\.NET v4.5 Classic\NTUSER.DAT was cleared updating 1 keys and creating 1 modified pages.
18,There are 0x1 boot options on this system.
19,Installation Successful: Windows successfully installed the following update: 2025-03 Cumulative Update for Windows Server 2019 (1809) for x64-based Systems (KB5053596)
20,The last shutdown's success status was true. The last boot's success status was true.
25,The boot menu policy was 0x0.
26,"Application popup: Idle timer expired : Session has been idle over its time limit.
It will be disconnected in 2 minutes.
Press any key now to continue session."
27,The boot type was 0x0.
30,The firmware reported boot metrics.
32,The bootmgr spent 0 ms waiting for user input.
35,The time service is now synchronizing the system time with the time source VM IC Time Synchronization Provider with reference id 1347702102. Current local stratum number is 4.
37,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x8 (ntp.m|0x8|0.0.0.0:123->168.61.215.74:123)."
43,Installation Started: Windows has started installing the following update: 2025-03 Cumulative Update for Windows Server 2019 (1809) for x64-based Systems (KB5053596)
44,Windows Update started downloading an update.
46,VF adapter '\DEVICE\{3BD0846C-87E2-4C14-AC49-10C6D4AFF353}' did not report NDK capabilities.
47,"Time Provider NtpClient: No valid response has been received from manually configured peer time.windows.com,0x8 after 8 attempts to contact it. This peer will be discarded as a time source and NtpClient will attempt to discover a new peer with this DNS name. The error was: The peer is unreachable. "
55,Processor 3 in group 0 exposes the following power management capabilities:Idle state type: ACPI Idle (C) States (1 state(s))Performance state type: NoneNominal Frequency (MHz): 2095Maximum performance percentage: 100Minimum performance percentage: 100Minimum throttle percentage: 100
64,Certificate for local system with Thumbprint 0e 1e 53 4b df a9 27 86 da 90 53 70 27 91 e7 bc 61 a9 04 6a is about to expire or already expired.
98,Volume C: (\Device\HarddiskVolume4) is healthy.  No action is needed.
102,"SearchIndexer (8800,P,98) Windows: The database engine (10.00.17763.0000) is starting a new instance (0)."
105,"svchost (3164,D,0) DS_Token_DB: The database engine started a new instance (0). (Time=0 seconds)  Additional Data: lgposV2[] = 0000000A:0001:0000 - 0000000A:0003:002B - 0000000A:0004:0000 - 0000000A:0004:0000 (00000000:0000:0000)cReInits = 1  Internal Timing Sequence: [1] 0.000735 +J(0) +M(C:0K, Fs:142, WS:556K # 556K, PF:2376K # 2376K, P:2376K)[2] 0.000547 +J(0) +M(C:8K, Fs:101, WS:392K # 392K, PF:1152K # 1152K, P:1152K)[3] 0.000044 +J(0) +M(C:0K, Fs:9, WS:32K # 32K, PF:68K # 68K, P:68K)[4] 0.000216 +J(0) +M(C:0K, Fs:57, WS:228K # 228K, PF:160K # 160K, P:160K)[5] 0.001207 +J(0) +M(C:0K, Fs:7, WS:28K # 28K, PF:20K # 20K, P:20K)[6] 0.005154 +J(0) +M(C:0K, Fs:41, WS:164K # 164K, PF:28K # 28K, P:28K)[7] 0.003378 -0.001281 (2) WT +J(0) +M(C:0K, Fs:33, WS:132K # 132K, PF:64K # 64K, P:64K)[8] 0.033210 -0.006505 (11) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:12168/7) +M(C:0K, Fs:126, WS:348K # 352K, PF:248K # 252K, P:248K)[9] 0.000808 +J(0) +M(C:0K, Fs:4, WS:16K # 12K, PF:0K # 0K, P:0K)[10] 0.000929 -0.000138 (1) WT +J(0) +M(C:0K, Fs:0, WS:-60K # 0K, PF:-60K # 0K, P:-60K)[11] 0.000384 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:49/1) +M(C:0K, Fs:2, WS:8K # 0K, PF:0K # 0K, P:0K)[12] 0.004565 -0.001958 (2) WT +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)[13] 0.076237 -0.000190 (2) CM -0.024770 (23) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:8759/5) +M(C:0K, Fs:69, WS:156K # 172K, PF:212K # 216K, P:212K)[14] 0.000019 +J(0)[15] 0.000017 +J(0)[16] 0.000761 -0.000096 (1) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K)."
109,"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
153,Virtualization-based security (policies: 0) is disabled.
172,"Connectivity state in standby: Disconnected, Reason: NIC compliance"
258,The storage optimizer successfully completed retrim on AppData (F:)
262,"Mellanox ConnectX-4 Lx Virtual Ethernet Adapter #4 has got:
    vendor_id      	15b3
    device_id      	1016
    subvendor_id   	15b3
    subsystem_id   	0190
    HW revision    	80
    FW version     	14.30.5000
    port type      	ETH"
285,"Mellanox ConnectX-4 Lx Virtual Ethernet Adapter #4: is currently running:
     Driver Version:       	2.70.24728.0
     Firmware Version:     	14.30.5000
     PSID number:          	MSF0010110035"
286,"Mellanox ConnectX-4 Lx Virtual Ethernet Adapter #4: is currently running:
     GUID:                 	0022:48ff:fd1f:3cd6
     MAC:                  	00-22-48-1F-3C-D6"
289,Mellanox ConnectX-4 Lx Virtual Ethernet Adapter #4 Traffic flow is in restarting state.
290,Mellanox ConnectX-4 Lx Virtual Ethernet Adapter #4 Traffic flow is in running state.
300,"svchost (3164,R,98) DS_Token_DB: The database engine is initiating recovery steps."
301,"svchost (3164,R,98) DS_Token_DB: The database engine has finished replaying logfile C:\Windows\system32\config\systemprofile\AppData\Local\DataSharing\Storage\DSS.log.  Processing Stats: [1] 0.023290 -0.004661 (7) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:12168/7) +M(C:0K, Fs:70, WS:204K # 148K, PF:152K # 84K, P:152K). Log record of type 'AttachDB ' was seen most frequently (1 times)"
302,"svchost (3164,U,98) DS_Token_DB: The database engine has successfully completed recovery steps."
